function,address,prefix,category,source
FUN_14002dfc8,0x14002dfc8,14002d,Decompiled,prefix
FUN_14002e038,0x14002e038,14002e,Decompiled,prefix
FUN_14002e070,0x14002e070,14002e,Decompiled,prefix
FUN_14002e0b8,0x14002e0b8,14002e,Decompiled,prefix
FUN_14002e0fc,0x14002e0fc,14002e,Decompiled,prefix
FUN_14002e160,0x14002e160,14002e,Decompiled,prefix
FUN_14002e1b4,0x14002e1b4,14002e,Decompiled,prefix
FUN_14002eb00,0x14002eb00,14002e,Ribbon Interface,body
FUN_140032424,0x140032424,140032,Decompiled,prefix
FUN_140032938,0x140032938,140032,Decompiled,prefix
FUN_140032bb0,0x140032bb0,140032,Decompiled,prefix
FUN_140032d78,0x140032d78,140032,Decompiled,prefix
FUN_140032de4,0x140032de4,140032,Decompiled,prefix
FUN_1400334c4,0x1400334c4,140033,Decompiled,prefix
FUN_140034108,0x140034108,140034,Decompiled,prefix
FUN_140034558,0x140034558,140034,Ribbon Interface,body
FUN_140034c70,0x140034c70,140034,Dialog & Form,body
FUN_140035198,0x140035198,140035,Decompiled,prefix
FUN_140035498,0x140035498,140035,Decompiled,prefix
FUN_14003c424,0x14003c424,14003c,Decompiled,prefix
FUN_140047f10,0x140047f10,140047,Decompiled,prefix
FUN_140048028,0x140048028,140048,Decompiled,prefix
FUN_140048040,0x140048040,140048,Decompiled,prefix
FUN_140048058,0x140048058,140048,Decompiled,prefix
FUN_140048070,0x140048070,140048,Decompiled,prefix
FUN_140048098,0x140048098,140048,Decompiled,prefix
FUN_1400483f0,0x1400483f0,140048,Decompiled,prefix
FUN_140048544,0x140048544,140048,Decompiled,prefix
FUN_1400488f0,0x1400488f0,140048,Decompiled,prefix
FUN_140048b38,0x140048b38,140048,Decompiled,prefix
FUN_140048d20,0x140048d20,140048,Decompiled,prefix
FUN_140048d28,0x140048d28,140048,Decompiled,prefix
FUN_140048d30,0x140048d30,140048,Decompiled,prefix
FUN_140048d38,0x140048d38,140048,Decompiled,prefix
FUN_140048d40,0x140048d40,140048,Decompiled,prefix
FUN_1400494c4,0x1400494c4,140049,Decompiled,prefix
FUN_140049600,0x140049600,140049,Decompiled,prefix
FUN_14004960c,0x14004960c,140049,Decompiled,prefix
FUN_140049c30,0x140049c30,140049,Decompiled,prefix
FUN_140049c88,0x140049c88,140049,Decompiled,prefix
FUN_140049c9c,0x140049c9c,140049,Decompiled,prefix
FUN_140049cec,0x140049cec,140049,Decompiled,prefix
FUN_14004a360,0x14004a360,14004a,Decompiled,prefix
FUN_14004ae78,0x14004ae78,14004a,Decompiled,prefix
FUN_14004b0ec,0x14004b0ec,14004b,Decompiled,prefix
FUN_14004b54c,0x14004b54c,14004b,Decompiled,prefix
FUN_14004b5f8,0x14004b5f8,14004b,Decompiled,prefix
FUN_14004b6e8,0x14004b6e8,14004b,Decompiled,prefix
FUN_14004baac,0x14004baac,14004b,Decompiled,prefix
FUN_14004bac0,0x14004bac0,14004b,Decompiled,prefix
FUN_14004bb18,0x14004bb18,14004b,Decompiled,prefix
FUN_14004bcbc,0x14004bcbc,14004b,Decompiled,prefix
FUN_14004bcc4,0x14004bcc4,14004b,Decompiled,prefix
FUN_14004c0e4,0x14004c0e4,14004c,Decompiled,prefix
FUN_14004c19c,0x14004c19c,14004c,Decompiled,prefix
FUN_14004d104,0x14004d104,14004d,Decompiled,prefix
FUN_14004ddc4,0x14004ddc4,14004d,Decompiled,prefix
FUN_14004e1ec,0x14004e1ec,14004e,Advanced UI,body
